Condition,TP0,TP1,TP2,TP3,TP4
65 f8,59,54,69,45,60
75 f8,55,49,65,45,59
85 f8,58,40,52,44,48
65 f15,97,99,100,88,98
75 f15,99,98,100,90,99
85 f15,96,95,96,100,98
