Condition,TP0,TP1,TP2,TP3,TP4
65 f8,59,59,49,52,56
75 f8,56,59,47,49,46
85 f8,61,,,,
65 f15,98,98,99,96,97
75 f15,98,99,97,98,97
85 f15,98,,,,
