Condition,TP0,TP1,TP2,TP3,TP4
65 f8,53,71,53,,62
75 f8,54,59,46,,63
85 f8,53,,,,
65 f15,98,99,96,,98
75 f15,96,99,96,,95
85 f15,97,,,,
