Condition,TP0,TP1,TP2,TP3,TP4
65 f8,61,57,46,73,50
75 f8,61,55,44,,60
85 f8,57,44,,,
65 f15,100,100,97,100,95
75 f15,98,96,95,,100
85 f15,98,,,,
