Run,Condition,Reference,Average,Min,Max,Total Oligos,Prcnt 0 Reads,Insertion Average,%InsA,%InsC,%InsT,%InsG,Deletion Average,%DelA,%DelC,%DelT,%DelG,Substitution Average,%Sub AtoC,%Sub AtoG,%Sub AtoT,%Sub CtoA,%Sub CtoG,%Sub CtoT,%Sub GtoA,%Sub GtoC,%Sub GtoT,%Sub TtoA,%Sub TtoC,%Sub TtoG
62,E1_BeadsDNAStable_65_Run_62-report,id15,17.67,0,52,7373,2.12,0.0624,21.68,20.1262,20.3083,37.8854,0.767,24.9548,24.0961,24.1376,27.0278,0.5261,2.1924,2.1409,3.9298,11.0918,3.6771,5.0604,11.1589,4.7342,11.3889,6.1185,36.5381,1.9195
59,E2_BeadsDNAStable_65_R59-report,id8,76.71,0,281,21601,0.03,0.067,19.761,16.9566,16.3717,46.9107,0.7409,28.3877,27.3496,21.6941,23.6858,1.0627,7.5646,7.2115,12.9302,9.388,5.9022,6.8168,4.5185,4.6906,16.3384,4.7577,14.767,5.1168
59,E2_BeadsDNAStable_65_R59-report,id15,40.2,0,106,7373,1.76,0.0627,22.396,20.1039,19.488,38.0121,0.7341,25.1395,23.7188,24.4408,26.9075,0.5787,6.392,6.819,4.5857,8.4208,3.6767,4.9409,10.4067,4.4299,9.434,5.4835,32.7773,2.4294
57,E2_BeadsDNAStable_65_Run57-report,id15,38.3,0,97,7373,1.78,0.0642,22.5723,19.9967,19.7117,37.7192,0.725,25.0889,23.8921,24.325,26.8991,0.9648,5.8494,1.6539,9.3992,12.2463,4.7374,2.7254,6.3412,5.7748,11.7054,13.3246,19.8485,6.1228
57,E2_BeadsDNAStable_65_Run57-report,id8,74.17,0,253,21601,0.06,0.0671,19.7526,17.0192,16.7191,46.5091,0.7281,28.3765,27.3635,21.7511,23.6205,1.4635,10.8714,5.9255,15.1682,14.1702,6.5432,4.6616,3.5252,5.6995,15.8243,9.7673,2.9988,6.4023
60,E2_BeadsDNAStable_65_Run_60-report,id15,19.21,0,57,7373,2.13,0.0642,22.4532,20.044,19.714,37.7888,0.7861,25.1009,24.0159,24.3585,26.7098,0.668,3.3607,1.9182,5.4991,12.1554,4.5801,4.5781,9.7932,6.0863,11.8833,8.6596,28.6635,2.8621
60,E2_BeadsDNAStable_65_Run_60-report,id8,37.26,0,149,21601,0.16,0.0666,19.9803,16.9166,16.41,46.6931,0.7732,28.3053,27.421,21.6962,23.6911,1.0396,8.8323,7.4771,13.2817,13.5319,6.633,6.9991,4.9433,6.1271,18.3191,6.6817,4.2859,4.6411
62,E2_BeadsDNAStable_65_Run_62-report,id15,19.2,0,59,7373,2.02,0.0654,22.4065,19.4765,18.9917,39.1253,0.7454,24.9729,24.0682,24.2846,26.8746,0.5183,2.4163,2.1161,4.0134,10.7057,3.4334,4.8285,11.1558,4.6469,11.0809,6.3122,37.2565,1.9558
62,E2_BeadsDNAStable_65_Run_62-report,id8,39.11,0,128,21601,0.15,0.0673,19.7277,17.0758,16.3776,46.8188,0.7559,28.2257,27.4696,21.7564,23.6542,0.8841,8.5128,8.5335,13.8625,11.8504,6.3087,7.677,4.941,5.3186,19.9562,5.4636,5.0198,4.3732
59,E3_BeadsDNAStable_65_R59-report,id8,114.73,0,396,21601,0.03,0.0673,19.9242,17.0709,16.2587,46.7463,0.7325,28.3567,27.3645,21.7304,23.6602,1.0531,7.474,7.1989,12.9844,8.8216,5.8476,6.9443,4.533,4.6045,16.1495,4.6291,15.6216,5.0603
59,E3_BeadsDNAStable_65_R59-report,id15,55.93,0,139,7373,1.78,0.0648,22.3331,19.9084,19.9046,37.8538,0.7414,25.0553,23.9346,24.4042,26.799,0.5762,6.5224,6.8093,4.6303,8.0804,3.5766,4.9478,10.5343,4.3482,9.5064,5.5788,32.8755,2.3982
57,E3_BeadsDNAStable_65_Run57-report,id8,77.41,0,277,21601,0.07,0.0675,19.8753,16.8882,16.6195,46.6169,0.72,28.2992,27.3921,21.762,23.6517,1.4505,10.6943,5.8923,15.0936,14.1457,6.5044,4.8134,3.6441,5.8315,15.9597,9.7164,3.0372,6.2138
57,E3_BeadsDNAStable_65_Run57-report,id15,37.34,0,96,7373,1.87,0.0638,22.494,20.0034,20.009,37.4937,0.7104,25.0663,23.8928,24.4451,26.7884,0.9719,5.804,1.5699,9.26,12.3351,4.802,2.7698,6.5058,5.89,11.5117,13.5089,19.8527,5.9206
60,E3_BeadsDNAStable_65_Run_60-report,id15,21.17,0,59,7373,2.02,0.064,22.3472,19.9681,19.9084,37.7762,0.7423,25.2368,23.8401,24.3745,26.7387,0.6456,3.647,1.843,5.6067,11.6677,4.3688,4.5209,9.6543,5.9018,11.1139,8.9646,29.5589,3.0857
60,E3_BeadsDNAStable_65_Run_60-report,id8,44.16,0,156,21601,0.12,0.0673,19.9224,17.0777,16.3108,46.6891,0.7359,28.296,27.3081,21.7716,23.7141,1.033,9.1391,7.5257,13.6294,13.1247,6.6085,6.9573,4.7443,6.1105,17.9392,6.8535,4.3294,4.7954
62,E3_BeadsDNAStable_65_Run_62-report,id8,42.66,0,164,21601,0.15,0.068,20.0079,16.9635,16.2294,46.7991,0.7494,28.4437,27.3142,21.6481,23.7177,0.8878,8.2508,8.5655,13.6558,11.5538,6.4588,8.1275,5.3823,5.4777,19.8558,5.2871,4.9655,4.2457
62,E3_BeadsDNAStable_65_Run_62-report,id15,19.53,0,56,7373,2.03,0.0639,21.7902,20.4976,20.0668,37.6454,0.75,25.1112,24.1139,24.3901,26.5541,0.5395,2.3123,2.1416,3.8457,10.9717,3.821,5.4175,11.6459,4.965,11.1821,6.1702,35.5744,1.952
57,E4_BeadsDNAStable_75_Run57-report,id15,14.53,0,41,7373,2.13,0.061,22.2608,20.4045,19.9366,37.3981,0.7652,25.0406,23.9143,24.1663,27.1039,0.9145,4.6237,1.5282,8.829,12.4165,5.1243,3.268,7.1047,6.2238,11.9419,12.7598,21.0297,5.008
57,E4_BeadsDNAStable_75_Run57-report,id8,25.37,0,98,21601,0.21,0.067,19.8413,17.0855,16.6563,46.4169,0.7763,28.2831,27.3818,21.7323,23.7053,1.3659,10.1071,5.9402,14.8174,14.034,6.5555,5.2228,4.0087,6.0309,16.4198,9.4807,3.2278,5.677
60,E4_BeadsDNAStable_75_Run_60-report,id8,41.43,0,154,21601,0.13,0.0665,20.1077,16.9444,16.4277,46.5202,0.7928,28.2744,27.4081,21.6755,23.7513,0.9818,8.6582,7.7888,13.4586,12.8033,6.8051,7.2347,4.929,6.2376,18.6188,6.3466,4.5125,4.3836
60,E4_BeadsDNAStable_75_Run_60-report,id15,23.74,0,70,7373,2.03,0.0642,22.0596,20.4364,19.1325,38.3715,0.7894,25.0327,24.0654,24.3975,26.6854,0.6337,2.8108,1.9178,5.3832,12.0158,4.8629,4.5096,9.6005,6.1067,11.7819,8.1086,30.2591,2.6519
62,E4_BeadsDNAStable_75_Run_62-report,id15,31.27,0,80,7373,1.94,0.0616,22.3325,20.2012,19.3278,38.1385,0.8033,25.0521,24.0092,24.312,26.8231,0.5396,1.9049,2.1014,3.7248,11.3956,4.2131,5.1591,11.4477,5.494,11.375,5.9372,35.7017,1.6015
62,E4_BeadsDNAStable_75_Run_62-report,id8,57.78,0,215,21601,0.07,0.067,19.9912,17.0994,15.9949,46.9133,0.7882,28.322,27.3513,21.6716,23.7652,0.8734,7.9094,8.6553,13.6827,11.4369,6.6735,8.1305,5.3683,5.7135,20.1335,5.0958,5.1352,3.903
57,E5_BeadsDNAStable_75_Run57-report,id15,32.67,0,83,7373,1.99,0.0643,22.3931,19.7941,20.2959,37.5169,0.7421,25.0798,24.057,24.2566,26.8004,0.988,5.2344,1.5228,9.2431,12.608,5.09,3.0845,6.748,5.9885,12.1202,13.0447,19.5685,5.5759
57,E5_BeadsDNAStable_75_Run57-report,id8,65.97,0,235,21601,0.09,0.0672,20.0048,17.1768,16.6489,46.1695,0.7314,28.2694,27.4254,21.7123,23.7022,1.4722,10.2047,5.793,14.7613,14.5285,6.5203,4.9273,3.8853,5.961,16.2351,9.7182,3.0289,5.943
60,E5_BeadsDNAStable_75_Run_60-report,id15,18.76,0,53,7373,1.99,0.0637,21.8545,19.5307,19.7914,38.8234,0.7631,25.1975,23.972,24.2004,26.8294,0.6938,3.0372,1.9077,5.3794,12.6538,4.534,4.8711,10.0045,6.1253,12.3685,8.3639,28.047,2.8278
60,E5_BeadsDNAStable_75_Run_60-report,id8,37.8,0,142,21601,0.15,0.0675,20.0622,16.6046,16.4085,46.9228,0.7633,28.2386,27.4061,21.7493,23.7037,1.0756,8.5745,7.2329,13.0836,14.1211,6.5511,7.1175,5.1039,6.1411,18.5427,6.7216,4.1538,4.4213
62,E5_BeadsDNAStable_75_Run_62-report,id15,22.45,0,71,7373,1.99,0.0658,22.3189,20.1814,19.8205,37.6793,0.7625,25.1795,23.9821,24.2203,26.8159,0.5584,2.287,2.0242,3.8968,10.3252,4.2444,6.5099,12.2151,5.4123,10.6975,5.956,34.4856,2.0051
62,E5_BeadsDNAStable_75_Run_62-report,id8,47.13,0,154,21601,0.12,0.0671,19.6612,17.1678,16.3251,46.843,0.7621,28.2188,27.3813,21.8029,23.6849,0.9286,8.1241,8.2315,13.4269,11.5503,6.6527,8.5038,5.9264,5.7758,19.2638,5.4163,4.7954,4.1478
57,E6_BeadsDNAStable_75_Run57-report,id8,83.55,0,291,21601,0.04,0.0674,19.961,16.9249,16.5618,46.5523,0.7187,28.3238,27.3731,21.74,23.6706,1.4259,10.0419,5.9182,14.6599,14.6951,6.4142,5.1664,3.9712,5.8092,16.7803,9.2067,3.1885,5.7241
57,E6_BeadsDNAStable_75_Run57-report,id15,40.55,0,105,7373,1.9,0.0646,22.2548,19.923,19.8356,37.9866,0.7239,25.0877,23.8474,24.506,26.7476,0.9646,4.7706,1.6441,8.7031,13.4723,4.8507,3.2002,6.9512,5.864,12.7168,12.6515,19.9712,5.0939
60,E6_BeadsDNAStable_75_Run_60-report,id15,16,0,49,7373,2.1,0.0644,22.7873,19.7281,19.1398,38.3449,0.7086,25.2826,23.8373,24.3721,26.6944,0.6432,3.2518,1.8687,5.3994,12.075,4.504,4.4126,9.6423,5.9784,11.3569,8.5886,30.0322,2.8548
60,E6_BeadsDNAStable_75_Run_60-report,id8,33.07,0,122,21601,0.15,0.0679,20.1384,17.0793,16.123,46.6593,0.7194,28.3103,27.4592,21.5919,23.7678,1.0298,8.8679,7.6322,13.4031,13.2404,6.7153,6.9288,4.8455,6.077,18.3496,6.6926,4.3618,4.6369
57,E8_BeadsDNAStable_85_Run57-report,id8,15.49,0,70,21601,0.33,0.0681,19.8554,16.7813,16.5636,46.7996,0.7117,28.5004,27.1832,21.6054,23.827,1.4432,10.5161,5.7713,14.9707,14.2801,6.1796,5.0025,3.926,5.8706,16.0482,9.898,3.0887,5.9353
57,E8_BeadsDNAStable_85_Run57-report,id15,7.62,0,24,7373,2.37,0.0631,21.7136,21.5741,20.1228,36.5895,0.6988,25.3705,23.7321,24.5169,26.5538,0.9523,4.7488,1.418,9.7852,12.0701,4.743,3.1824,7.1281,5.6242,12.3445,12.9076,20.3723,5.5256
62,E8_BeadsDNAStable_85_Run_62-report,id15,6.37,0,22,7373,2.74,0.0618,22.5113,19.1814,19.2855,39.0219,0.7156,25.1361,23.8909,24.3283,26.8479,0.5034,2.5636,1.9227,4.2465,8.979,3.149,5.7649,11.9756,4.3311,9.6891,6.7774,38.5219,1.9109
62,E8_BeadsDNAStable_85_Run_62-report,id8,13.72,0,54,21601,0.39,0.0686,19.7774,17.477,16.2159,46.5297,0.7316,28.2218,27.4712,21.6567,23.7658,0.8708,8.5634,8.7339,14.1725,10.9519,5.9539,8.1359,5.4019,5.2615,19.475,5.6349,5.0233,4.4609
57,E9_BeadsDNAStable_85_Run57-report,id8,20.79,0,81,21601,0.29,0.0685,20.1129,16.8261,16.3691,46.6919,0.6922,28.3175,27.4025,21.6989,23.697,1.4002,10.3434,5.9569,15.0182,14.1212,6.1342,5.1342,3.9862,5.721,16.4919,9.6077,3.2178,5.781
57,E9_BeadsDNAStable_85_Run57-report,id15,10.38,0,35,7373,2.2,0.0689,21.2614,20.5262,20.8551,37.3573,0.6994,25.0759,23.94,24.294,26.8981,0.9319,4.69,1.4914,9.0501,12.7785,4.6309,3.1869,7.16,5.3052,11.8691,13.3897,20.7571,5.4429
62,E9_BeadsDNAStable_85_Run_62-report,id15,0.02,0,2,7373,98.02,0.0204,66.6667,0,0,33.3333,0.7585,26.6296,23.9483,23.7181,25.8085,0.619,4.1233,1.0308,4.1233,8.2109,8.2109,4.1054,17.2057,1.147,13.7646,7.1154,29.4782,2.033
62,E9_BeadsDNAStable_85_Run_62-report,id8,0.03,0,2,21601,96.75,0.0917,29.4118,13.2353,17.6471,39.7059,0.6046,28.8254,29.0596,21.027,22.5759,1.244,6.6496,6.0339,13.176,20.6074,5.2139,6.9519,4.6438,4.5383,17.6254,7.8879,4.5769,4.09
59,F10_DNAStable_65_R59-report,id8,65.63,0,230,21601,0.06,0.0673,19.8868,17.0005,16.2826,46.8302,0.7233,28.3451,27.3261,21.7374,23.6944,1.0893,7.9857,7.1554,12.5421,9.7501,5.8709,6.6239,4.3325,4.5158,16.3125,4.5773,14.8865,5.4475
59,F10_DNAStable_65_R59-report,id15,36.76,0,107,7373,1.78,0.063,22.1644,20.0844,19.4834,38.2678,0.7269,25.1024,23.9336,24.4052,26.7463,0.5772,7.0194,7.2145,4.2642,8.3756,3.461,4.5981,10.2297,4.1682,9.6855,5.24,32.7292,2.814
60,F10_DNAStable_65_Run_60-report,id15,30.8,0,79,7373,1.93,0.0652,22.0265,20.3523,19.5051,38.116,0.7264,25.1313,23.872,24.5067,26.6712,0.652,4.1695,1.8997,5.7529,12.6143,4.0044,3.8427,8.8964,5.2234,11.9303,8.6931,29.2812,3.5729
60,F10_DNAStable_65_Run_60-report,id8,55.45,0,185,21601,0.08,0.0679,19.7989,16.9243,16.5607,46.7162,0.7358,28.387,27.3062,21.8072,23.5995,1.0759,9.5862,7.4279,13.6117,14.4634,6.6245,6.2718,4.1679,5.4136,18.267,6.6631,4.1651,5.2359
62,F10_DNAStable_65_Run_62-report,id8,48.74,0,169,21601,0.1,0.0676,20.153,16.8012,16.6325,46.4133,0.73,28.392,27.3536,21.7074,23.6635,1.0522,7.2756,7.2837,11.9823,18.228,5.4873,6.7459,4.3866,4.4727,23.4395,4.6326,4.2676,3.806
62,F10_DNAStable_65_Run_62-report,id15,25.5,0,67,7373,1.93,0.0641,21.7864,20.6658,20.0231,37.5247,0.7237,25.1053,23.9216,24.2791,26.8978,0.6812,2.0043,1.7451,3.2166,19.9514,2.7757,3.9852,8.9798,3.6462,18.8168,5.1767,28.3316,1.7404
57,F10_DNAStable_65_Run57-report,id15,48.86,0,128,7373,1.87,0.0634,22.1803,20.2621,19.7153,37.8423,0.7134,25.2375,23.8398,24.2635,26.8629,1.0064,6.3422,1.809,9.4906,12.6459,4.9786,2.4813,6.1072,5.4097,11.6986,12.9152,19.2079,6.5914
57,F10_DNAStable_65_Run57-report,id8,87.74,0,316,21601,0.04,0.0672,20.1187,16.8589,16.8287,46.1938,0.7062,28.3723,27.3672,21.7438,23.6296,1.5226,11.018,6.0407,15.389,14.8329,6.9527,4.4604,3.3139,5.2736,15.7797,9.0828,2.9287,6.7223
60,F11_DNAStable_65_Run_60-report,id15,24,0,64,7373,1.91,0.0642,22.9842,19.2096,19.6438,38.1623,0.7453,25.1219,23.8881,24.4647,26.712,0.7444,3.2707,2.0099,5.1083,15.214,4.3795,4.5591,9.0744,5.5116,14.878,7.2145,26.0651,2.944
60,F11_DNAStable_65_Run_60-report,id8,41.05,0,164,21601,0.12,0.067,20.0845,17.0511,16.3312,46.5331,0.7551,28.2834,27.4472,21.7513,23.6277,1.1273,8.5928,7.1819,12.4748,15.8587,6.544,6.6388,4.6957,5.6905,19.5236,5.977,4.1705,4.5552
62,F11_DNAStable_65_Run_62-report,id15,22.7,0,64,7373,1.97,0.066,22.6364,20.1963,20.0162,37.1511,0.7011,25.0064,23.8007,24.5986,26.7843,0.5622,2.9994,2.174,4.3375,11.6587,3.8098,4.4787,10.4131,4.6357,12.0935,6.5062,34.2594,2.5896
62,F11_DNAStable_65_Run_62-report,id8,40.64,0,145,21601,0.13,0.0678,20.1462,16.8426,16.3364,46.6731,0.72,28.2223,27.3499,21.7552,23.7594,0.9756,8.7586,8.0888,13.5683,13.4812,6.4569,7.0061,4.5621,5.1763,19.8234,5.6748,4.6028,4.69
57,F11_DNAStable_65_Run57-report,id8,82.99,0,279,21601,0.04,0.0682,19.8688,16.8227,16.8739,46.4346,0.6832,28.3804,27.2655,21.8089,23.6396,1.634,11.3025,6.0211,15.2564,15.1772,7.1464,4.1785,3.1887,5.1946,15.4584,9.1453,2.7873,6.9824
57,F11_DNAStable_65_Run57-report,id15,49.14,0,142,7373,1.74,0.0643,22.5684,19.9762,19.9081,37.5474,0.6837,25.1814,23.8271,24.3852,26.8023,1.06,6.7436,1.8794,9.6797,12.7564,4.991,2.3848,5.8174,5.4779,11.9984,12.6806,18.3593,6.929
60,F12_DNAStable_65_Run_60-report,id15,20.97,0,73,7373,1.97,0.0648,22.0664,20.5847,19.2025,38.1464,0.7448,24.9939,24.0706,24.2251,26.9153,0.642,3.8096,2.0722,5.4837,12.5415,4.03,4.0941,9.3902,5.1185,12.3691,8.079,29.645,3.323
60,F12_DNAStable_65_Run_60-report,id8,39.52,0,137,21601,0.09,0.0675,20.0407,16.8598,16.4615,46.6363,0.7263,28.3724,27.2802,21.7685,23.6775,1.0623,9.2011,7.5504,13.5825,14.2223,6.7007,6.5349,4.3463,5.4249,18.6579,6.3062,4.2611,5.1158
62,F12_DNAStable_65_Run_62-report,id15,2.67,0,13,7373,10.92,0.0674,22.5886,18.7139,19.2086,39.4889,0.7999,25.3078,23.8818,24.3659,26.6224,0.64,1.769,2.3272,3.4278,16.8505,3.5524,5.5834,10.3067,4.2109,15.1574,5.4446,30.3321,1.2451
