Temperature and Time Point,Total Percent Missing,Percent Missing that Reappear,Percent that Stay Missing
65C: TP0,2.197,0.0,2.197
TP1,2.197,100.0,0.0
TP2,2.224,100.0,0.0
TP3,2.197,100.0,0.0
TP4,2.265,97.006,0.068
75C: TP0,2.211,0.0,2.211
TP1,2.238,100.0,0.0
TP2,2.251,100.0,0.0
TP3,nan,nan,nan
TP4,2.197,100.0,0.0
85C: TP0,2.197,0.0,2.197
TP1,nan,nan,nan
TP2,nan,nan,nan
TP3,nan,nan,nan
TP4,nan,nan,nan
